geometry,level,reference_level,n_refine,flower_grid,n_nodes,n_cells,dt,n_steps,t_assemble_s,t_solve_s,t_total_s,MAE_mean,L2_mean,max_err
square,refine_1,refine_4,1,0.04,25,32,0.5,60,0.007308,0.005359,0.012668,0.08536258,0.0009741083,4.09734211
square,refine_2,refine_4,2,0.04,81,128,0.5,60,0.004198,0.013216,0.017415,0.02231626,0.0002572296,1.22245053
square,refine_3,refine_4,3,0.04,289,512,0.5,60,0.00606,0.055186,0.061247,0.00547134,6.01481e-05,0.2826777
square,refine_4,refine_4,4,0.04,1089,2048,0.5,60,0.013462,0.223657,0.23712,0.0,0.0,0.0
circle,refine_1,refine_3,1,0.04,545,1024,0.5,60,0.010345,0.11525,0.125595,0.00163756,1.95083e-05,0.0759156
circle,refine_2,refine_3,2,0.04,2113,4096,0.5,60,0.024962,0.588563,0.613526,0.00044554,4.6249e-06,0.02184448
circle,refine_3,refine_3,3,0.04,8321,16384,0.5,60,0.088859,3.57116,3.660019,0.0,0.0,0.0
lshape,refine_1,refine_4,1,0.04,21,24,0.5,60,0.005687,0.004822,0.010509,0.42409013,0.0050261211,12.20156839
lshape,refine_2,refine_4,2,0.04,65,96,0.5,60,0.00468,0.010182,0.014862,0.1128871,0.0013302109,4.43408661
lshape,refine_3,refine_4,3,0.04,225,384,0.5,60,0.005489,0.036391,0.04188,0.02667103,0.0003035124,1.41243924
lshape,refine_4,refine_4,4,0.04,833,1536,0.5,60,0.011417,0.145916,0.157333,0.0,0.0,0.0
flower,grid_0p120,grid_0p040,0,0.12,457,512,0.5,60,0.009531,0.039426,0.048958,0.0247567,0.0003131582,1.4021835
flower,grid_0p080,grid_0p040,0,0.08,531,660,0.5,60,0.010174,0.054999,0.065173,0.01126106,0.0001351706,0.75985341
flower,grid_0p060,grid_0p040,0,0.06,636,870,0.5,60,0.012613,0.072712,0.085325,0.00640212,7.4519e-05,0.55721515
flower,grid_0p040,grid_0p040,0,0.04,935,1468,0.5,60,0.016703,0.125292,0.141995,0.0,0.0,0.0
