geometry,step,t_start,t_end,MAE,L2,max_err,step_time_s
circle,1,0.0,1.5,31.829726143177844,0.16820681204024482,33.31737734393221,16.03
circle,2,1.5,3.0,22.010962743124203,0.3202431276554692,22.777658993276873,16.4
circle,3,3.0,4.5,11.322608065941365,0.4536901110289115,11.64584672788854,16.43
circle,4,4.5,6.0,5.273451939024331,0.5820200510018028,5.4438945754263735,16.2
circle,5,6.0,7.5,2.2508993961353907,0.6841552082443816,2.300951344491992,16.72
circle,6,7.5,9.0,0.856566783264941,0.7170993205433979,0.8810875552895361,15.82
circle,7,9.0,10.5,0.30867151288407507,0.7117899382056679,0.31895871067883164,15.69
circle,8,10.5,12.0,0.10180865895470559,0.6468063990676397,0.10640846819959293,15.65
circle,9,12.0,13.5,0.03567684852247256,0.6243652262229967,0.03728421007167526,15.55
circle,10,13.5,15.0,0.010948282262638793,0.5311084854313985,0.012578642982617794,15.17
circle,11,15.0,16.5,0.0027992683570282175,0.4356086558752976,0.0090812304501533,15.28
circle,12,16.5,18.0,0.0005751144600551069,0.2341009839183379,0.001464841591367616,15.27
circle,13,18.0,19.5,0.005201871060154973,5.554969078717896,0.011268912984611745,15.33
circle,14,19.5,21.0,0.0023530852366510455,8.106363780361475,0.008661102323092251,15.26
circle,15,21.0,22.5,0.0021173340233539015,19.743650948789206,0.007001656716468574,15.89
circle,16,22.5,24.0,0.0042660812629949545,107.65242767390329,0.01341558044268254,15.66
circle,17,24.0,25.5,0.0010617174682498321,80.94656663269963,0.0047820990672029495,15.34
circle,18,25.5,27.0,0.0010863263823426433,227.21529956503085,0.004661290223481274,15.36
circle,19,27.0,28.5,0.00408399585191508,1898.7467705748045,0.00865891048016465,15.5
circle,20,28.5,30.0,0.0015425187480336792,2632.501486664133,0.006679563488749096,15.72
