geometry,step,t_start,t_end,MAE,L2,max_err,step_time_s
square,1,0.0,1.5,30.76862214053621,0.16133084820778656,33.363985249745525,17.71
square,2,1.5,3.0,19.685712816948215,0.27970502629736915,20.881929693624613,16.14
square,3,3.0,4.5,10.848223349214766,0.4178075830655146,11.225944699881971,16.08
square,4,4.5,6.0,5.0399964936977515,0.5265868607693799,5.3066913240542455,16.28
square,5,6.0,7.5,2.2232853300501363,0.6297171434223069,2.2937176375866386,16.35
square,6,7.5,9.0,0.8388175082722179,0.6444353263894235,0.8768804063204279,15.12
square,7,9.0,10.5,0.3128093523755512,0.6518981443863178,0.32837884280804985,14.98
square,8,10.5,12.0,0.10867488712721513,0.6144687212523838,0.1153808915118617,14.87
square,9,12.0,13.5,0.030262822119774203,0.4664177121600089,0.03486036728300945,15.06
square,10,13.5,15.0,0.013746062253002142,0.5768867839376656,0.01714979822144258,14.94
square,11,15.0,16.5,0.006922702630097129,0.8640330715196359,0.015093061468085978,15.07
square,12,16.5,18.0,0.001858314440983043,0.5921439998767875,0.0033126571639989777,15.14
square,13,18.0,19.5,0.005212674202029077,4.82570705552917,0.011908394145148549,15.42
square,14,19.5,21.0,0.007011963890184434,15.87574140391506,0.010433976984263182,15.27
square,15,21.0,22.5,0.0064985031827411175,42.20856901182388,0.011706920536095566,15.25
square,16,22.5,24.0,0.01173492309274394,196.44964560183786,0.01579054434571958,15.3
square,17,24.0,25.5,0.002438155226286947,128.48063669962872,0.00783623174288195,15.28
square,18,25.5,27.0,0.00347027890168409,501.9611277210782,0.014852443815492222,15.3
square,19,27.0,28.5,0.005550860212568722,1980.9075354094946,0.015126090381322399,15.18
square,20,28.5,30.0,0.00905208510386433,8219.958317925704,0.015736446569924567,15.03
